"","mgi_symbol","eventID","AS_type","chromosome_name","band"
"1","Ins2","ENSMUSG00000000215;A3:7:142678822-142679347:142678733-142679347:-","A3","7","qF5"
"2","Ins2","ENSMUSG00000000215;A3:7:142679009-142679347:142678733-142679347:-","A3","7","qF5"
"3","Ckmt1","ENSMUSG00000000308;A3:2:121357948-121358682:121357948-121358796:+","A3","2","qE5"
"4","Haao","ENSMUSG00000000673;A3:17:83843338-83846637:83843274-83846637:-","A3","17","qE4"
"5","Aire","ENSMUSG00000000731;A3:10:78035833-78036685:78034707-78036685:-","A3","10","qC1"
"6","Aire","ENSMUSG00000000731;A3:10:78039742-78039931:78039737-78039931:-","A3","10","qC1"
"7","Tubgcp3","ENSMUSG00000000759;A3:8:12649822-12650154:12648787-12650154:-","A3","8","qA1.1"
"8","Zfp512b","ENSMUSG00000000823;A3:2:181588103-181588214:181588079-181588214:-","A3","2","qH4"
"9","Pcnt","ENSMUSG00000001151;A3:10:76356396-76357035:76356236-76357035:-","A3","10","qC1"
"10","Glmp","ENSMUSG00000001418;A3:3:88325201-88325677:88325201-88326115:+","A3","3","qF1"
"11","Trmt1","ENSMUSG00000001909;A3:8:84689349-84689632:84689349-84689708:+","A3","8","qC3"
"12","Slc39a13","ENSMUSG00000002105;A3:2:91065714-91066013:91065700-91066013:-","A3","2","qE1"
"13","Slc2a3","ENSMUSG00000003153;A3:6:122739993-122740388:122737298-122740388:-","A3","6","qF1"
"14","Stxbp2","ENSMUSG00000004626;A3:8:3641820-3641895:3641820-3641898:+","A3","8","qA1.1"
"15","Celf1","ENSMUSG00000005506;A3:2:91013402-91013491:91013402-91016566:+","A3","2","qE1"
"16","Irag1","ENSMUSG00000005611;A3:7:110929578-110945833:110929562-110945833:-","A3","7","qE3"
"17","Tpr","ENSMUSG00000006005;A3:1:150445963-150446085:150445963-150446124:+","A3","1","qG1"
"18","Ptbp1","ENSMUSG00000006498;A3:10:79858824-79858952:79858824-79859072:+","A3","10","qC1"
"19","Elavl2","ENSMUSG00000008489;A3:4:91253570-91260761:91253567-91260761:-","A3","4","qC5"
"20","Rpl10","ENSMUSG00000008682;A3:X:74272317-74272672:74272317-74272915:+","A3","X","qA7.3"
"21","Gstt4","ENSMUSG00000009093;A3:10:75821343-75822312:75821318-75822312:-","A3","10","qC1"
"22","Aldh3a2","ENSMUSG00000010025;A3:11:61248482-61248862:61248041-61248862:-","A3","11","qB2"
"23","Nxf1","ENSMUSG00000010097;A3:19:8768661-8769001:8768661-8769043:+","A3","19","qA"
"24","Ifi35","ENSMUSG00000010358;A3:11:101456664-101457190:101456664-101457416:+","A3","11","qD"
"25","Kansl3","ENSMUSG00000010453;A3:1:36365632-36367769:36365585-36367769:-","A3","1","qB"
"26","Adssl1","ENSMUSG00000011148;A3:12:112632745-112633000:112632745-112633069:+","A3","12","qF1"
"27","Zfp715","ENSMUSG00000012640;A3:7:43311250-43313104:43311185-43313104:-","A3","7","qB3"
"28","Hps5","ENSMUSG00000014418;A3:7:46791072-46795907:46791048-46795907:-","A3","7","qB3"
"29","Hspa8","ENSMUSG00000015656;A3:9:40802623-40802739:40802623-40802796:+","A3","9","qA5.1"
"30","Adamtsl4","ENSMUSG00000015850;A3:3:95685671-95687821:95685553-95687821:-","A3","3","qF2.1"
"31","Cd34","ENSMUSG00000016494;A3:1:194959230-194959780:194959230-194959936:+","A3","1","qH6"
"32","Mlx","ENSMUSG00000017801;A3:11:101087790-101088593:101087790-101088598:+","A3","11","qD"
"33","Zbtb4","ENSMUSG00000018750;A3:11:69775442-69775802:69775442-69775862:+","A3","11","qB3"
"34","Styxl1","ENSMUSG00000019178;A3:5:135770362-135778251:135770359-135778251:-","A3","5","qG2"
"35","Cdc27","ENSMUSG00000020687;A3:11:104526184-104526863:104526166-104526863:-","A3","11","qE1"
"36","Galr2","ENSMUSG00000020793;A3:11:116281850-116282395:116281850-116282911:+","A3","11","qE2"
"37","Ube2o","ENSMUSG00000020802;A3:11:116543732-116543866:116543727-116543866:-","A3","11","qE2"
"38","Mfsd11","ENSMUSG00000020818;A3:11:116858581-116859299:116858581-116859324:+","A3","11","qE2"
"39","Lrrc9","ENSMUSG00000021090;A3:12:72463501-72463833:72463501-72463836:+","A3","12","qC3"
"40","Unc79","ENSMUSG00000021198;A3:12:102991470-102998438:102991470-102998597:+","A3","12","qE"
"41","Eif5","ENSMUSG00000021282;A3:12:111539687-111539801:111539687-111540130:+","A3","12","qF1"
"42","Eci2","ENSMUSG00000021417;A3:13:34993328-34993830:34993220-34993830:-","A3","13","qA3.3"
"43","Eci2","ENSMUSG00000021417;A3:13:34993328-34993830:34993230-34993830:-","A3","13","qA3.3"
"44","Fastkd3","ENSMUSG00000021532;A3:13:68582350-68583539:68582350-68584136:+","A3","13","qB3"
"45","Mtx3","ENSMUSG00000021704;A3:13:92845697-92846818:92845697-92846861:+","A3","13","qC3"
"46","Zfyve16","ENSMUSG00000021706;A3:13:92508346-92508891:92508291-92508891:-","A3","13","qC3"
"47","Zswim8","ENSMUSG00000021819;A3:14:20722579-20722828:20722579-20722896:+","A3","14","qA3"
"48","Tsc22d1","ENSMUSG00000022010;A3:14:76419009-76438936:76419009-76438947:+","A3","14","qD3"
"49","4931414P19Rik","ENSMUSG00000022179;A3:14:54584706-54584979:54584686-54584979:-","A3","14","qC2"
"50","Mroh1","ENSMUSG00000022558;A3:15:76452178-76452247:76452178-76452281:+","A3","15","qD3"
"51","Serpind1","ENSMUSG00000022766;A3:16:17331447-17336165:17331447-17336292:+","A3","16","qA3"
"52","Abcc5","ENSMUSG00000022822;A3:16:20392922-20396015:20392807-20396015:-","A3","16","qA3"
"53","Eif4a2","ENSMUSG00000022884;A3:16:23111896-23112351:23111896-23113167:+","A3","16","qB1"
"54","Slc15a2","ENSMUSG00000022899;A3:16:36761712-36761823:36761653-36761823:-","A3","16","qB3"
"55","Enah","ENSMUSG00000022995;A3:1:181921960-181923560:181921768-181923560:-","A3","1","qH5"
