"","mgi_symbol","eventID","AS_type","chromosome_name","band"
"1","Tead2","ENSMUSG00000030796;A5:7:45215906-45217213:45215874-45217213:+","A5","7","qB3"
"2","Gcgr","ENSMUSG00000025127;RI:11:120536060:120536167-120536250:120536568:+","RI","11","qE2"
"3","Tjp3","ENSMUSG00000034917;AF:10:81283739-81285601:81285781:81283739-81291464:81291581:-","AF","10","qC1"
"4","Cnot2","ENSMUSG00000020166;MX:10:116507188-116527827:116527949-116581453:116507188-116549033:116549175-116581453:-","MX","10","qD2"
"5","Vps33b","ENSMUSG00000030534;A5:7:80280033-80282485:80280017-80282485:+","A5","7","qD2"
"6","Zc3h7a","ENSMUSG00000037965;AF:16:11164693-11175513:11175565:11164693-11176220:11176341:-","AF","16","qA1"
"7","Siglech","ENSMUSG00000051504;MX:7:55768721-55768887:55769165-55771603:55768721-55769332:55769379-55771603:+","MX","7","qB5"
"8","Sox17","ENSMUSG00000025902;SE:1:4493863-4495136:4495198-4496291:-","SE","1","qA1"
"9","Igsf9","ENSMUSG00000037995;AF:1:172482215:172482260-172484281:172482314:172482430-172484281:+","AF","1","qH3"
"10","Sun1","ENSMUSG00000036817;AF:5:139200667:139200699-139215158:139212267:139212444-139215158:+","AF","5","qG2"
"11","Hnrnpk","ENSMUSG00000021546;AF:13:58400417-58401110:58401265:58400417-58402064:58402116:-","AF","13","qB1"
"12","H2-DMa","ENSMUSG00000037649;AF:17:34119588:34120050-34135182:34122822:34123108-34135182:+","AF","17","qB1"
"13","Myadm","ENSMUSG00000068566;AF:7:3289080:3289325-3293203:3291490:3291545-3293203:+","AF","7","qA1"
"14","Magi1","ENSMUSG00000045095;AF:6:93815825-93912883:93912963:93815825-93913324:93913554:-","AF","6","qD1"
"15","Magi1","ENSMUSG00000045095;AF:6:93815825-93912883:93912963:93815825-93913324:93913554:-","AF","6","qD1"
"16","Kif21a","ENSMUSG00000022629;SE:15:90943901-90949006:90949044-90951246:-","SE","15","qE3"
"17","Nfia","ENSMUSG00000028565;AF:4:97772734:97772911-97783082:97777608:97777994-97783082:+","AF","4","qC6"
"18","Apobr","ENSMUSG00000042759;AF:7:126584992:126585068-126587897:126587674:126587811-126587897:+","AF","7","qF3"
"19","Chmp6","ENSMUSG00000025371;AF:11:119913441:119913552-119915413:119913830:119913937-119915413:+","AF","11","qE2"
"20","Cyp2s1","ENSMUSG00000040703;AF:7:25815050-25815339:25815392:25815050-25816528:25816558:-","AF","7","qA3"
"21","Rubcn","ENSMUSG00000035629;AF:16:32857045-32868093:32868366:32857045-32877263:32877766:-","AF","16","qB3"
"22","Jade1","ENSMUSG00000025764;AF:3:41563607:41563916-41581195:41564898:41565003-41581195:+","AF","3","qB"
"23","Clec9a","ENSMUSG00000046080;SE:6:129415361-129416328:129416405-129419482:+","SE","6","qF3"
"24","Dcaf11","ENSMUSG00000022214;AL:14:55560121-55560441:55560756:55560121-55561236:55561441:+","AL","14","qC3"
"25","Pdcd7","ENSMUSG00000041837;AL:9:65356805-65357358:65357436:65356805-65358594:65358678:+","AL","9","qC"
"26","Mboat1","ENSMUSG00000038732;AF:13:30136489:30136762-30194536:30166999:30167061-30194536:+","AF","13","qA3.2"
"27","Retreg2","ENSMUSG00000049339;AF:1:75142786:75143128-75143369:75143165:75143276-75143369:+","AF","1","qC4"
"28","Mgst1","ENSMUSG00000008540;A5:6:138141882-138147659:138141716-138147659:+","A5","6","qG1"
"29","Gdpd3","ENSMUSG00000030703;AL:7:126767852-126768120:126768212:126767852-126768570:126768661:+","AL","7","qF3"
"30","Ccser1","ENSMUSG00000039578;AL:6:61423077-61469717:61470265:61423077-61570670:61571006:+","AL","6","qB3"
"31","Rin3","ENSMUSG00000044456;AL:12:102358796-102361326:102363068:102358796-102368364:102368573:+","AL","12","qE"
"32","Cerkl","ENSMUSG00000075256;A3:2:79393325-79428702:79393185-79428702:-","A3","2","qC3"
"33","Tbccd1","ENSMUSG00000004462;AF:16:22842107-22856755:22856865:22842107-22857345:22857542:-","AF","16","qB1"
"34","Slc25a19","ENSMUSG00000020744;A3:11:115627929-115628065:115627873-115628065:-","A3","11","qE2"
"35","Stard13","ENSMUSG00000016128;AF:5:151095492-151189926:151190150:151095492-151233591:151233774:-","AF","5","qG3"
"36","Stard13","ENSMUSG00000016128;AL:5:151063546:151063656-151092747:151071264:151073364-151092747:-","AL","5","qG3"
"37","Patz1","ENSMUSG00000020453;AF:11:3289202:3289347-3293280:3291459:3291884-3293280:+","AF","11","qA1"
"38","Ptpn1","ENSMUSG00000027540;MX:2:167932556-167935364:167935521-167963628:167932556-167958162:167958621-167963628:+","MX","2","qH3"
"39","Ankrd9","ENSMUSG00000037904;AF:12:110978127-110978386:110978579:110978127-110978840:110978995:-","AF","12","qF1"
"40","Trpc1","ENSMUSG00000032839;SE:9:95732209-95743197:95743351-95749668:-","SE","9","qE3.3"
"41","Stox2","ENSMUSG00000038143;AF:8:47203273-47220105:47220235:47203273-47352031:47352348:-","AF","8","qB1.1"
"42","Fmnl3","ENSMUSG00000023008;SE:15:99328166-99329280:99329432-99331987:-","SE","15","qF1"
